Timestamp,Which year are you in?,How are you feeling right now?,"On a scale of 1-100, how would you express this feeling?",Gender,Age,Your location ?,Relationship status,Are you happy with your financial state?,How much have you succeeded to cope up with the environment of your educational institution?,Understanding with your family members?,Are you feeling pressure in your study or work right now?,Are you satisfied with your academic result?,Are you happy with your living place?,Who supports you when you are not succeeding in your academic life?,Have you used any social media within the last 6 hours?,Do you have inferiority complex? ,Are you satisfied with your meal today?,Are you feeling sick/health issues today?,"Have you done any recreational activity (sports, gaming, hobby etc.) today?",How long did you sleep last night?(in hours)
,2nd year,Good,79,Male,21,Home,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Yes,No,Yes,7
,2nd year,Normal,60,Male,21,Home,Single,No,5,Good,No,Yes,Yes,Family,Yes,No,Yes,Yes,Yes,6
,2nd year,Very bad,8,Male,21,Hall-Mess,Single,Yes,3,Normal,Yes,Yes,Yes,Friends,Yes,Yes,Neutral,No,No,6
,2nd year,Bad,41,Male,21,Hall-Mess,Single,No,2,Normal,Yes,Yes,No,Friends,Yes,Yes,No,Yes,Yes,6
,2nd year,Very bad,2,Male,21,Hall-Mess,Single,No,1,Bad,Yes,Yes,No,Family,Yes,Yes,Neutral,No,No,7
,2nd year,Very good,100,Male,21,Hall-Mess,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,Yes,8
,2nd year,Bad,47,Male,21,Playground,Single,No,2,Good,Yes,No,No,Friends,Yes,Yes,No,No,Yes,3
,2nd year,Good,71,Male,21,Department,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,10
,2nd year,Very good,100,Male,21,Department,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,10
,2nd year,Very good,97,Male,21,Department,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,8
,2nd year,Normal,69,Male,21,Playground,Single,No,5,Good,No,Yes,Yes,Family,Yes,Maybe,Neutral,No,Yes,6
,2nd year,Bad,29,Male,21,Playground,Single,No,2,Good,Yes,No,Yes,Friends,Yes,No,Yes,Yes,Yes,3
,2nd year,Very bad,1,Male,21,Hall-Mess,Single,No,1,Good,Yes,Yes,Yes,Family,Yes,No,Neutral,No,Yes,3
,2nd year,Bad,22,Male,21,Hall-Mess,Single,Yes,1,Good,Yes,Yes,Yes,Friends,Yes,No,Yes,Yes,Yes,6
,2nd year,Normal,50,Male,21,Playground,Single,Yes,4,Good,No,Yes,No,Family,Yes,No,Neutral,No,Yes,6
,2nd year,Normal,55,Male,21,Hall-Mess,Single,Yes,3,Good,Yes,No,No,Family,Yes,Maybe,Neutral,No,No,8
,2nd year,Normal,59,Male,21,Department,Single,No,5,Good,No,No,Yes,Family,Yes,Maybe,Yes,Yes,Yes,8
,2nd year,Normal,54,Male,21,Hall-Mess,Single,Yes,3,Good,Yes,No,No,Family,Yes,Maybe,Neutral,Yes,Yes,7
,2nd year,Very bad,15,Male,21,Playground,Single,Yes,2,Normal,Yes,No,Yes,Friends,Yes,Maybe,Yes,No,Yes,6
,2nd year,Bad,20,Male,21,Home,Single,No,3,Good,Yes,No,Yes,Family,Yes,Maybe,No,No,Yes,4
,2nd year,Very bad,3,Male,21,Home,Single,No,2,Bad,Yes,Yes,Yes,Family,Yes,No,No,No,No,4
,2nd year,Very bad,15,Male,21,Playground,Single,Yes,2,Bad,Yes,No,No,Friends,Yes,No,No,No,No,7
,2nd year,Very good,93,Male,21,Playground,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,9
,2nd year,Very bad,7,Male,21,Department,Single,No,3,Good,Yes,No,No,Family,Yes,Maybe,Neutral,Yes,Yes,7
,2nd year,Good,88,Male,21,Department,Single,Yes,4,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,10
,2nd year,Very bad,4,Male,21,Hall-Mess,Single,Yes,3,Normal,Yes,Yes,No,Family,Yes,Maybe,Yes,No,Yes,6
,2nd year,Bad,46,Male,21,Home,Single,Yes,2,Bad,Yes,Yes,Yes,Friends,Yes,No,Yes,Yes,Yes,4
,2nd year,Good,81,Male,21,Department,Single,Yes,4,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,9
,2nd year,Good,81,Male,21,Hall-Mess,Single,Yes,5,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,7
,2nd year,Very good,98,Male,21,Department,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,10
,2nd year,Normal,63,Male,21,Home,Single,No,4,Normal,Yes,No,Yes,Friends,Yes,No,Neutral,Yes,No,7
,2nd year,Good,78,Male,21,Home,Single,Yes,5,Normal,No,Yes,Yes,Friends,Yes,No,Yes,No,No,8
,2nd year,Very bad,8,Male,21,Playground,Single,Yes,2,Normal,Yes,No,No,Friends,Yes,Maybe,Yes,No,No,4
,2nd year,Very bad,4,Male,21,Home,Single,No,2,Bad,Yes,Yes,Yes,Friends,Yes,Yes,No,No,Yes,7
,2nd year,Very bad,12,Male,21,Hall-Mess,Single,No,2,Good,Yes,Yes,Yes,Friends,Yes,Maybe,Yes,Yes,No,5
,2nd year,Very bad,14,Male,21,Home,Single,No,2,Bad,Yes,Yes,No,Friends,Yes,No,No,Yes,Yes,3
,2nd year,Very good,97,Male,21,Hall-Mess,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,8
,2nd year,Normal,53,Male,21,Playground,Single,Yes,3,Normal,Yes,Yes,Yes,Friends,Yes,Maybe,Yes,Yes,No,8
,2nd year,Very bad,8,Male,21,Home,Single,Yes,2,Bad,Yes,No,No,Friends,Yes,No,Yes,Yes,Yes,6
,2nd year,Very good,98,Male,21,Playground,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,10
,2nd year,Very bad,5,Male,21,Hall-Mess,Single,No,3,Good,Yes,Yes,Yes,Friends,Yes,Yes,Yes,No,Yes,3
,2nd year,Good,74,Male,21,Home,Single,Yes,4,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,No,7
,2nd year,Good,86,Male,21,Home,Single,Yes,5,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,8
,2nd year,Good,89,Male,21,Home,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Yes,No,Yes,9
,2nd year,Very bad,16,Male,21,Home,Single,No,2,Bad,Yes,Yes,No,Family,Yes,Maybe,Yes,No,Yes,5
,2nd year,Very good,96,Male,21,Home,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,9
,2nd year,Very good,90,Male,21,Department,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,7
,2nd year,Very good,97,Male,21,Playground,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,No,Yes,No,No,8
,2nd year,Bad,21,Male,21,Department,Single,No,3,Normal,Yes,Yes,Yes,Friends,Yes,Yes,Neutral,Yes,No,5
,2nd year,Very bad,4,Male,21,Home,Single,Yes,3,Good,Yes,No,No,Friends,Yes,No,Yes,Yes,No,7
,2nd year,Very bad,14,Male,21,Home,Single,Yes,3,Normal,Yes,No,No,Family,Yes,Maybe,Yes,Yes,Yes,3
,2nd year,Normal,60,Male,21,Playground,Single,No,4,Good,Yes,No,Yes,Family,Yes,No,Neutral,No,No,6
,2nd year,Bad,47,Male,21,Hall-Mess,Single,No,3,Good,Yes,Yes,No,Friends,Yes,Maybe,Neutral,No,No,3
,2nd year,Good,85,Male,21,Playground,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Yes,No,No,7
,2nd year,Normal,56,Male,21,Playground,Single,Yes,4,Good,Yes,Yes,No,Family,Yes,No,Neutral,Yes,No,6
,2nd year,Bad,45,Male,21,Hall-Mess,Single,Yes,1,Normal,Yes,No,Yes,Friends,Yes,Yes,Yes,No,No,7
,2nd year,Bad,38,Male,21,Hall-Mess,Single,Yes,2,Bad,Yes,No,Yes,Family,Yes,Maybe,Yes,No,No,5
,2nd year,Good,78,Male,21,Playground,Single,Yes,4,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,7
,2nd year,Normal,63,Male,21,Home,Single,No,5,Normal,Yes,Yes,No,Friends,Yes,Maybe,Yes,No,Yes,7
,2nd year,Normal,50,Male,21,Department,Single,Yes,4,Good,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,8
,2nd year,Good,84,Male,21,Department,Single,Yes,5,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,9
,2nd year,Very good,96,Male,21,Playground,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Yes,No,Yes,9
,2nd year,Normal,67,Male,21,Hall-Mess,Single,Yes,4,Normal,Yes,No,No,Friends,Yes,Maybe,Yes,Yes,No,7
,2nd year,Very bad,13,Male,21,Hall-Mess,Single,No,3,Good,Yes,Yes,Yes,Friends,Yes,Maybe,Neutral,Yes,No,6
,2nd year,Good,76,Male,21,Playground,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Neutral,No,No,10
,2nd year,Very good,99,Male,21,Playground,Single,Yes,5,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,10
,2nd year,Normal,68,Male,21,Home,Single,No,3,Good,Yes,No,No,Family,Yes,No,Neutral,Yes,No,6
,2nd year,Normal,54,Male,21,Hall-Mess,Single,Yes,4,Normal,Yes,No,No,Family,Yes,No,Yes,Yes,No,8
,2nd year,Bad,22,Male,21,Home,Single,Yes,1,Bad,Yes,No,No,Friends,Yes,Maybe,Yes,Yes,Yes,7
,2nd year,Bad,44,Male,21,Home,Single,No,1,Good,Yes,Yes,Yes,Friends,Yes,No,Yes,No,No,4
,2nd year,Very good,96,Male,21,Department,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,No,Yes,No,No,9
,2nd year,Very good,94,Male,21,Department,Single,Yes,5,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8
,2nd year,Bad,39,Male,21,Home,Single,Yes,3,Bad,Yes,No,No,Friends,Yes,Maybe,Yes,Yes,No,5
,2nd year,Very good,99,Male,21,Playground,Single,Yes,3,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,8
,2nd year,Normal,61,Male,21,Home,Single,Yes,4,Normal,Yes,No,Yes,Friends,Yes,Maybe,Neutral,Yes,No,8
,2nd year,Normal,70,Male,21,Department,Single,Yes,3,Good,No,Yes,No,Family,Yes,No,Neutral,No,No,6
,3rd year,Bad,29,Male,22,Department,Single,Yes,1,Bad,Yes,Yes,Yes,Friends,Yes,Yes,Neutral,Yes,No,7
,3rd year,Normal,55,Male,22,Home,Single,Yes,5,Good,Yes,No,No,Friends,Yes,No,Yes,No,Yes,7
,3rd year,Very bad,3,Male,22,Department,Single,No,2,Good,Yes,No,No,Family,Yes,Yes,Neutral,No,No,5
,3rd year,Normal,50,Male,22,Playground,Single,No,4,Good,Yes,No,Yes,Family,Yes,No,Neutral,No,No,8
,3rd year,Very bad,9,Male,22,Home,Single,No,1,Normal,Yes,Yes,Yes,Friends,Yes,Maybe,Yes,No,Yes,7
,3rd year,Good,73,Male,22,Hall-Mess,Single,Yes,4,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,No,9
,3rd year,Bad,48,Male,22,Department,Single,No,1,Good,Yes,Yes,Yes,Family,Yes,Maybe,No,Yes,No,4
,3rd year,Good,83,Male,22,Playground,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Neutral,No,No,8
,3rd year,Very bad,9,Male,22,Playground,Single,No,3,Bad,Yes,Yes,Yes,Friends,Yes,Yes,No,No,No,7
,3rd year,Good,89,Male,22,Home,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Neutral,No,No,10
,3rd year,Very bad,18,Male,22,Home,Single,No,3,Normal,Yes,Yes,Yes,Friends,Yes,No,Neutral,Yes,No,6
,3rd year,Very good,99,Male,22,Department,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,Yes,7
,3rd year,Normal,58,Male,22,Department,Single,No,3,Good,No,No,No,Friends,Yes,Maybe,Yes,Yes,Yes,8
,3rd year,Very good,94,Male,22,Playground,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,No,Yes,No,No,8
,3rd year,Good,73,Male,22,Home,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,No,10
,3rd year,Bad,42,Male,22,Hall-Mess,Single,Yes,2,Bad,Yes,No,Yes,Family,Yes,Yes,Yes,No,No,7
,3rd year,Normal,56,Male,22,Hall-Mess,Single,Yes,3,Normal,No,No,No,Family,Yes,No,Yes,No,No,7
,3rd year,Good,74,Male,22,Department,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,10
,3rd year,Good,82,Male,22,Playground,Single,Yes,4,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,8
,3rd year,Good,74,Male,22,Playground,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Yes,No,No,10
,3rd year,Very good,100,Male,22,Home,Single,Yes,4,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,10
,3rd year,Very good,95,Male,22,Home,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Yes,No,No,9
,3rd year,Good,70,Male,22,Department,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,9
,3rd year,Normal,65,Male,22,Playground,Single,No,3,Normal,Yes,Yes,No,Friends,Yes,Maybe,Yes,No,No,7
,3rd year,Very bad,5,Male,22,Home,Single,No,1,Good,Yes,No,No,Friends,Yes,Yes,Neutral,No,Yes,6
,3rd year,Normal,51,Male,22,Playground,Single,Yes,5,Good,No,No,No,Friends,Yes,No,Neutral,Yes,No,6
,3rd year,Normal,52,Male,22,Department,Single,No,3,Normal,No,Yes,No,Friends,Yes,No,Neutral,Yes,No,8
,3rd year,Bad,47,Male,22,Playground,Single,Yes,2,Bad,Yes,Yes,No,Friends,Yes,Yes,Neutral,Yes,No,4
,3rd year,Very good,92,Male,22,Hall-Mess,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,No,Yes,No,No,10
,3rd year,Very good,92,Male,22,Department,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,9
,3rd year,Normal,69,Male,22,Playground,Single,No,4,Good,Yes,Yes,Yes,Family,Yes,No,Yes,No,No,8
,3rd year,Very bad,5,Male,22,Hall-Mess,Single,No,2,Bad,Yes,Yes,No,Friends,Yes,Maybe,Yes,No,No,7
,3rd year,Bad,20,Male,22,Department,Single,No,1,Bad,Yes,No,No,Friends,Yes,No,Neutral,Yes,Yes,5
,3rd year,Bad,40,Male,22,Hall-Mess,Single,No,2,Good,Yes,No,Yes,Family,Yes,No,Neutral,Yes,No,3
,3rd year,Good,86,Male,22,Department,Single,Yes,4,Good,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,10
,3rd year,Very good,91,Male,22,Home,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Yes,No,No,10
,3rd year,Bad,29,Male,22,Home,Single,Yes,1,Bad,Yes,Yes,No,Family,Yes,Maybe,No,Yes,No,7
,3rd year,Normal,60,Male,22,Department,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,Maybe,Neutral,Yes,Yes,7
,3rd year,Normal,70,Male,22,Home,Single,No,3,Good,Yes,Yes,No,Family,Yes,Maybe,Yes,Yes,Yes,8
,3rd year,Very good,94,Male,22,Home,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Yes,No,Yes,10
,3rd year,Very good,91,Male,22,Playground,Single,Yes,3,Good,No,No,Yes,Family,Yes,No,Yes,No,No,7
,3rd year,Bad,42,Male,22,Department,Single,No,1,Normal,Yes,Yes,Yes,Friends,Yes,Maybe,Yes,No,No,4
,3rd year,Very bad,14,Male,22,Playground,Single,Yes,3,Good,Yes,Yes,No,Family,Yes,Yes,Neutral,No,Yes,6
,3rd year,Very good,91,Male,22,Home,Single,Yes,4,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,7
,3rd year,Good,89,Male,22,Department,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,10
,3rd year,Bad,39,Male,22,Hall-Mess,Single,Yes,1,Good,Yes,No,No,Family,Yes,Maybe,Neutral,No,No,5
,3rd year,Very bad,13,Male,22,Playground,Single,No,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,3
,3rd year,Bad,39,Male,22,Hall-Mess,Single,No,3,Bad,Yes,No,No,Friends,Yes,No,Neutral,Yes,Yes,5
,3rd year,Bad,45,Male,22,Playground,Single,No,1,Bad,Yes,Yes,No,Friends,Yes,Maybe,Neutral,No,No,3
,3rd year,Bad,38,Male,22,Playground,Single,Yes,3,Bad,Yes,Yes,Yes,Family,Yes,Yes,Neutral,Yes,Yes,5
,3rd year,Good,76,Male,22,Department,Single,Yes,3,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,8
,3rd year,Bad,32,Male,22,Department,Single,No,2,Normal,Yes,No,No,Friends,Yes,Yes,Neutral,No,Yes,3
,3rd year,Good,78,Male,22,Home,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,9
,3rd year,Good,80,Male,22,Home,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,Yes,10
,3rd year,Very bad,17,Male,22,Hall-Mess,Single,Yes,2,Good,Yes,No,No,Family,Yes,No,No,No,No,7
,3rd year,Good,71,Male,22,Playground,Single,Yes,5,Good,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,8
,3rd year,Good,83,Male,22,Home,Single,Yes,5,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,No,10
,3rd year,Good,86,Male,22,Hall-Mess,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,8
,3rd year,Normal,50,Male,22,Hall-Mess,Single,No,5,Normal,No,Yes,No,Friends,Yes,No,Neutral,No,Yes,7
,3rd year,Good,88,Male,22,Hall-Mess,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,9
,3rd year,Very bad,6,Male,22,Hall-Mess,Single,No,1,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
,3rd year,Normal,70,Male,22,Hall-Mess,Single,No,4,Good,No,Yes,Yes,Friends,Yes,Maybe,Yes,No,Yes,7
,3rd year,Bad,45,Male,22,Playground,Single,Yes,2,Bad,Yes,Yes,No,Friends,Yes,Yes,Yes,No,Yes,6
,3rd year,Very good,97,Male,22,Home,Single,Yes,4,Normal,No,Yes,Yes,Friends,Yes,No,Yes,No,No,8
,3rd year,Very bad,5,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,No,Yes,No,Yes,7
,3rd year,Very good,90,Male,22,Department,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,9
,3rd year,Good,70,Male,22,Hall-Mess,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,No,Yes,No,No,7
,3rd year,Very good,94,Male,22,Home,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,Yes,8
,3rd year,Good,78,Male,22,Department,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,7
,3rd year,Bad,33,Male,22,Hall-Mess,Single,Yes,3,Bad,Yes,Yes,No,Family,Yes,Yes,Yes,Yes,No,7
,3rd year,Normal,50,Male,22,Home,Single,Yes,4,Good,No,No,Yes,Family,Yes,Maybe,Neutral,No,Yes,8
,3rd year,Normal,58,Male,22,Playground,Single,Yes,5,Normal,No,Yes,Yes,Family,Yes,No,Neutral,Yes,Yes,6
,3rd year,Good,74,Male,22,Hall-Mess,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Yes,No,Yes,8
,3rd year,Normal,53,Male,22,Playground,Single,No,4,Good,No,No,Yes,Friends,Yes,Maybe,Neutral,No,No,8
,3rd year,Normal,65,Male,22,Playground,Single,No,4,Good,No,No,Yes,Friends,Yes,Maybe,Yes,Yes,Yes,7
,3rd year,Very bad,3,Male,22,Home,Single,Yes,3,Normal,Yes,No,Yes,Friends,Yes,No,Neutral,No,Yes,7
,3rd year,Bad,34,Male,22,Department,Single,Yes,2,Normal,Yes,Yes,No,Family,Yes,Maybe,No,No,Yes,6
,3rd year,Very good,93,Male,22,Playground,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Yes,No,Yes,9
,3rd year,Normal,55,Male,22,Department,Single,No,5,Normal,Yes,No,Yes,Friends,Yes,No,Neutral,No,Yes,7
,3rd year,Very good,99,Male,22,Playground,Single,Yes,3,Normal,No,Yes,Yes,Friends,Yes,No,Yes,No,Yes,9
,3rd year,Bad,47,Male,22,Playground,Single,Yes,3,Normal,Yes,Yes,No,Friends,Yes,Yes,Neutral,Yes,Yes,5
,3rd year,Normal,60,Male,22,Department,Single,Yes,4,Normal,Yes,Yes,No,Family,Yes,Maybe,Yes,Yes,No,6
,3rd year,Very good,100,Male,22,Home,Single,Yes,4,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,No,9
,3rd year,Normal,53,Male,22,Hall-Mess,Single,No,3,Normal,Yes,Yes,No,Friends,Yes,No,Yes,No,Yes,8
,3rd year,Very bad,10,Male,22,Hall-Mess,Single,No,1,Bad,Yes,Yes,Yes,Family,Yes,No,Neutral,No,No,6
,3rd year,Good,72,Male,22,Hall-Mess,Single,Yes,4,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,8
,3rd year,Very bad,15,Male,22,Hall-Mess,Single,Yes,2,Good,Yes,No,Yes,Friends,Yes,Maybe,No,Yes,Yes,3
,3rd year,Bad,32,Male,22,Department,Single,Yes,2,Bad,Yes,No,No,Family,Yes,Maybe,Neutral,Yes,No,7
,3rd year,Bad,41,Male,22,Hall-Mess,Single,Yes,1,Bad,Yes,Yes,No,Friends,Yes,No,Neutral,No,Yes,5
,3rd year,Normal,64,Male,22,Playground,Single,Yes,5,Good,Yes,No,No,Friends,Yes,No,Yes,Yes,No,7
,3rd year,Good,70,Male,22,Department,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Yes,No,No,7
,3rd year,Normal,59,Male,22,Home,Single,No,4,Good,No,No,No,Friends,Yes,No,Yes,Yes,Yes,6
,3rd year,Very good,100,Male,22,Department,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Yes,No,Yes,7
,3rd year,Very bad,8,Male,22,Hall-Mess,Single,Yes,2,Bad,Yes,No,Yes,Friends,Yes,Maybe,Neutral,No,Yes,4
,3rd year,Very bad,6,Male,22,Playground,Single,Yes,2,Good,Yes,Yes,No,Friends,Yes,Maybe,Neutral,No,No,5
,3rd year,Very bad,15,Male,22,Playground,Single,Yes,1,Good,Yes,Yes,Yes,Family,Yes,Yes,No,Yes,No,3
,3rd year,Very good,93,Male,22,Playground,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Yes,No,No,9
,3rd year,Normal,58,Male,22,Home,Single,No,3,Good,Yes,Yes,No,Family,Yes,Maybe,Neutral,No,Yes,8
,3rd year,Very bad,16,Male,22,Home,Single,Yes,3,Good,Yes,No,No,Family,Yes,No,Neutral,No,Yes,4
,3rd year,Bad,20,Male,22,Department,Single,Yes,3,Normal,Yes,No,Yes,Friends,Yes,No,No,No,No,3
,3rd year,Very good,97,Male,22,Playground,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,10
,3rd year,Bad,30,Male,22,Hall-Mess,Single,No,2,Normal,Yes,No,No,Friends,Yes,Maybe,No,Yes,No,3
,3rd year,Good,71,Male,22,Playground,Single,Yes,3,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10
,3rd year,Very bad,14,Male,22,Playground,Single,Yes,3,Good,Yes,Yes,No,Family,Yes,Yes,No,Yes,No,7
,3rd year,Good,76,Male,22,Home,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,No,Yes,No,No,7
,3rd year,Very good,97,Male,22,Playground,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,9
,3rd year,Very good,91,Male,22,Playground,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,8
,3rd year,Very good,92,Male,22,Hall-Mess,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8
,3rd year,Good,87,Male,22,Department,Single,Yes,5,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,7
,3rd year,Good,84,Male,22,Hall-Mess,Single,Yes,5,Good,No,No,Yes,Friends,Yes,No,Neutral,No,No,9
,3rd year,Very good,93,Male,22,Home,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,10
,1st year,Very good,99,Male,20,Department,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,7
,1st year,Bad,39,Male,20,Playground,Single,No,3,Normal,Yes,Yes,Yes,Family,Yes,Yes,Yes,Yes,No,7
,1st year,Good,76,Male,20,Playground,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,No,7
,1st year,Very good,92,Male,20,Home,Single,Yes,4,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8
,1st year,Bad,28,Male,20,Hall-Mess,Single,No,2,Normal,Yes,Yes,No,Family,Yes,Yes,Yes,No,Yes,7
,1st year,Very bad,19,Male,20,Hall-Mess,Single,No,1,Normal,Yes,Yes,Yes,Family,Yes,No,Yes,No,Yes,7
,1st year,Normal,68,Male,20,Playground,Single,No,5,Good,Yes,No,No,Friends,Yes,No,Yes,No,Yes,6
,1st year,Very bad,6,Male,20,Department,Single,No,2,Bad,Yes,No,Yes,Friends,Yes,No,No,Yes,Yes,3
,1st year,Bad,38,Male,20,Home,Single,Yes,3,Bad,Yes,No,No,Friends,Yes,No,Yes,No,Yes,3
,1st year,Normal,69,Male,20,Department,Single,No,5,Good,Yes,Yes,Yes,Friends,Yes,Maybe,Neutral,No,No,7
,1st year,Normal,54,Male,20,Home,Single,No,4,Good,No,No,Yes,Family,Yes,Maybe,Yes,Yes,Yes,8
,1st year,Bad,33,Male,20,Home,Single,Yes,1,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,No,No,5
,1st year,Very bad,9,Male,20,Playground,Single,Yes,2,Normal,Yes,No,Yes,Family,Yes,No,Neutral,Yes,No,4
,1st year,Very bad,11,Male,20,Playground,Single,Yes,1,Bad,Yes,Yes,Yes,Family,Yes,Maybe,No,No,No,6
,1st year,Bad,46,Male,20,Hall-Mess,Single,No,1,Good,Yes,No,No,Friends,Yes,No,No,Yes,Yes,6
,1st year,Very good,100,Male,20,Playground,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,No,8
,1st year,Bad,34,Male,20,Home,Single,No,1,Bad,Yes,Yes,No,Family,Yes,Maybe,Yes,No,Yes,5
,1st year,Bad,22,Male,20,Department,Single,No,1,Normal,Yes,Yes,No,Family,Yes,Yes,No,Yes,No,3
,1st year,Good,89,Male,20,Department,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,Yes,9
,1st year,Normal,66,Male,20,Home,Single,No,3,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,7
,2nd year,Bad,46,Male,21,Playground,Single,Yes,2,Normal,Yes,No,No,Family,Yes,Yes,Yes,No,Yes,4
,2nd year,Very bad,13,Male,21,Playground,Single,No,3,Good,Yes,No,Yes,Family,Yes,No,Yes,No,No,5
,2nd year,Very good,99,Male,21,Home,Single,Yes,5,Normal,No,Yes,Yes,Friends,Yes,No,Yes,No,No,9
,2nd year,Normal,53,Male,21,Hall-Mess,Single,Yes,3,Good,No,Yes,No,Family,Yes,No,Yes,Yes,Yes,8
